"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 14:51:55 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sun Nov 02 14:51:40 GMT 2025","Sun Nov 02 14:51:44 GMT 2025","3965","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Nov 02 14:51:40 GMT 2025","Sun Nov 02 14:51:43 GMT 2025","2166","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 14:51:55 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sun Nov 02 14:51:56 GMT 2025","Sun Nov 02 14:51:56 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Nov 02 14:51:45 GMT 2025","Sun Nov 02 14:51:46 GMT 2025","1446","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 14:51:43 GMT 2025","Sun Nov 02 14:51:45 GMT 2025","1828","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 14:51:47 GMT 2025","Sun Nov 02 14:51:49 GMT 2025","1955","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Nov 02 14:51:55 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sun Nov 02 14:51:55 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sun Nov 02 14:51:45 GMT 2025","Sun Nov 02 14:51:47 GMT 2025","1524","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Nov 02 14:51:53 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","2117","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Nov 02 14:51:51 GMT 2025","Sun Nov 02 14:51:53 GMT 2025","1722","LMS system","Courses","Courses","","","Check displaying of empty",""
"passed","Sun Nov 02 14:51:49 GMT 2025","Sun Nov 02 14:51:52 GMT 2025","3211","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Nov 02 14:51:52 GMT 2025","Sun Nov 02 14:51:55 GMT 2025","3044","LMS system","Courses","Courses","","","Create course",""
